experiment,run_a,run_b,summary_similarity,profile_rec_similarity,meal_suggestion_similarity,change_set_jaccard,same_primary_rec_area,same_profile_focus
real_deepseek_v4pro_50,run_004,run_028,0.031,0.311,0.047,0.2,False,False
real_deepseek_v4pro_50,run_004,run_029,0.053,0.4,0.009,0.0,False,False
real_deepseek_v4pro_50,run_004,run_030,0.101,0.431,0.1,0.667,False,True
real_deepseek_v4pro_50,run_004,run_031,0.083,0.383,0.086,0.0,False,False
real_deepseek_v4pro_50,run_004,run_032,0.025,0.034,0.088,0.25,False,True
real_deepseek_v4pro_50,run_004,run_033,0.106,0.299,0.056,0.2,False,False
real_deepseek_v4pro_50,run_004,run_034,0.086,0.293,0.086,0.0,False,False
real_deepseek_v4pro_50,run_004,run_035,0.049,0.042,0.233,0.333,False,True
real_deepseek_v4pro_50,run_004,run_036,0.065,0.261,0.109,0.143,False,False
real_deepseek_v4pro_50,run_004,run_037,0.065,0.442,0.059,0.667,False,True
real_deepseek_v4pro_50,run_004,run_038,0.061,0.627,0.114,0.333,False,True
real_deepseek_v4pro_50,run_004,run_039,0.1,0.326,0.026,0.667,False,True
real_deepseek_v4pro_50,run_004,run_040,0.106,0.34,0.026,0.0,False,True
real_deepseek_v4pro_50,run_004,run_041,0.057,0.339,0.06,0.286,False,False
real_deepseek_v4pro_50,run_004,run_042,0.018,0.072,0.016,0.0,False,True
real_deepseek_v4pro_50,run_004,run_043,0.083,0.3,0.079,0.25,False,False
real_deepseek_v4pro_50,run_004,run_044,0.028,0.335,0.07,0.0,False,False
real_deepseek_v4pro_50,run_004,run_045,0.057,0.014,0.024,0.25,False,False
real_deepseek_v4pro_50,run_004,run_046,0.091,0.316,0.062,0.25,False,False
real_deepseek_v4pro_50,run_004,run_047,0.098,0.164,0.03,0.0,False,False
real_deepseek_v4pro_50,run_004,run_048,0.067,0.265,0.054,0.667,False,True
real_deepseek_v4pro_50,run_004,run_049,0.077,0.442,0.077,0.333,False,True
real_deepseek_v4pro_50,run_004,run_050,0.099,0.143,0.024,0.2,False,True
real_deepseek_v4pro_50,run_005,run_006,0.109,0.321,0.007,0.5,True,True
real_deepseek_v4pro_50,run_005,run_007,0.081,0.22,0.03,0.0,False,False
real_deepseek_v4pro_50,run_005,run_008,0.044,0.465,0.095,0.5,True,True
real_deepseek_v4pro_50,run_005,run_009,0.079,0.023,0.046,0.0,False,False
real_deepseek_v4pro_50,run_005,run_010,0.006,0.022,0.019,0.0,False,False
real_deepseek_v4pro_50,run_005,run_011,0.045,0.373,0.067,0.333,True,True
real_deepseek_v4pro_50,run_005,run_012,0.05,0.025,0.037,0.0,False,False
real_deepseek_v4pro_50,run_005,run_013,0.084,0.342,0.013,0.5,True,True
real_deepseek_v4pro_50,run_005,run_014,0.043,0.277,0.084,0.0,False,False
real_deepseek_v4pro_50,run_005,run_015,0.028,0.36,0.009,0.0,False,False
