experiment,run_a,run_b,summary_similarity,profile_rec_similarity,meal_suggestion_similarity,change_set_jaccard,same_primary_rec_area,same_profile_focus
real_gpt56sol_med_50,run_004,run_027,0.223,0.424,0.223,1.0,True,False
real_gpt56sol_med_50,run_004,run_028,0.201,0.241,0.026,0.0,False,True
real_gpt56sol_med_50,run_004,run_029,0.2,0.068,0.158,1.0,False,True
real_gpt56sol_med_50,run_004,run_030,0.18,0.294,0.086,0.0,False,True
real_gpt56sol_med_50,run_004,run_031,0.171,0.38,0.075,1.0,False,True
real_gpt56sol_med_50,run_004,run_032,0.129,0.327,0.114,1.0,True,True
real_gpt56sol_med_50,run_004,run_033,0.117,0.288,0.133,0.0,False,True
real_gpt56sol_med_50,run_004,run_034,0.302,0.351,0.049,1.0,False,True
real_gpt56sol_med_50,run_004,run_035,0.165,0.312,0.089,1.0,False,False
real_gpt56sol_med_50,run_004,run_036,0.218,0.692,0.071,1.0,False,True
real_gpt56sol_med_50,run_004,run_037,0.228,0.281,0.081,0.0,False,True
real_gpt56sol_med_50,run_004,run_038,0.129,0.458,0.018,1.0,False,True
real_gpt56sol_med_50,run_004,run_039,0.113,0.219,0.031,1.0,False,True
real_gpt56sol_med_50,run_004,run_040,0.226,0.488,0.019,1.0,False,True
real_gpt56sol_med_50,run_004,run_041,0.128,0.273,0.03,1.0,False,False
real_gpt56sol_med_50,run_004,run_042,0.139,0.19,0.062,0.0,False,True
real_gpt56sol_med_50,run_004,run_043,0.121,0.423,0.01,1.0,False,False
real_gpt56sol_med_50,run_004,run_044,0.091,0.26,0.1,0.0,False,True
real_gpt56sol_med_50,run_004,run_045,0.131,0.211,0.121,0.0,False,True
real_gpt56sol_med_50,run_004,run_046,0.132,0.593,0.12,1.0,False,True
real_gpt56sol_med_50,run_004,run_047,0.127,0.27,0.006,0.0,False,True
real_gpt56sol_med_50,run_004,run_048,0.134,0.087,0.067,0.0,False,True
real_gpt56sol_med_50,run_004,run_049,0.139,0.647,0.037,1.0,False,True
real_gpt56sol_med_50,run_004,run_050,0.115,0.186,0.074,0.0,False,True
real_gpt56sol_med_50,run_005,run_006,0.086,0.027,0.009,0.0,False,False
real_gpt56sol_med_50,run_005,run_007,0.083,0.019,0.101,0.0,False,False
real_gpt56sol_med_50,run_005,run_008,0.106,0.348,0.037,0.0,False,True
real_gpt56sol_med_50,run_005,run_009,0.081,0.335,0.018,0.0,False,False
real_gpt56sol_med_50,run_005,run_010,0.087,0.359,0.015,0.0,True,True
real_gpt56sol_med_50,run_005,run_011,0.159,0.629,0.225,0.5,True,True
real_gpt56sol_med_50,run_005,run_012,0.124,0.365,0.16,0.0,False,False
real_gpt56sol_med_50,run_005,run_013,0.114,0.023,0.098,0.0,False,True
real_gpt56sol_med_50,run_005,run_014,0.087,1.0,0.013,1.0,True,True
real_gpt56sol_med_50,run_005,run_015,0.112,0.329,0.317,0.0,False,True
real_gpt56sol_med_50,run_005,run_016,0.087,0.019,0.074,0.0,False,False
real_gpt56sol_med_50,run_005,run_017,0.151,0.851,0.016,1.0,True,True
real_gpt56sol_med_50,run_005,run_018,0.099,0.902,0.018,1.0,True,True
real_gpt56sol_med_50,run_005,run_019,0.098,0.157,0.117,0.0,True,True
real_gpt56sol_med_50,run_005,run_020,0.084,0.296,0.285,0.0,False,True
real_gpt56sol_med_50,run_005,run_021,0.095,0.851,0.01,1.0,True,True
real_gpt56sol_med_50,run_005,run_022,0.231,0.167,0.077,0.0,False,False
real_gpt56sol_med_50,run_005,run_023,0.177,0.967,0.043,1.0,True,True
real_gpt56sol_med_50,run_005,run_024,0.092,0.083,0.044,0.0,False,True
real_gpt56sol_med_50,run_005,run_025,0.15,0.083,0.12,0.0,False,True
real_gpt56sol_med_50,run_005,run_026,0.204,0.351,0.115,0.0,False,True
real_gpt56sol_med_50,run_005,run_027,0.114,0.345,0.042,0.0,False,False
real_gpt56sol_med_50,run_005,run_028,0.107,0.613,0.326,0.5,True,True
real_gpt56sol_med_50,run_005,run_029,0.122,0.058,0.255,0.0,True,True
real_gpt56sol_med_50,run_005,run_030,0.013,0.585,0.175,1.0,True,True
real_gpt56sol_med_50,run_005,run_031,0.118,0.176,0.149,0.0,True,True
real_gpt56sol_med_50,run_005,run_032,0.195,0.091,0.029,0.0,False,True
real_gpt56sol_med_50,run_005,run_033,0.154,0.569,0.029,1.0,True,True
real_gpt56sol_med_50,run_005,run_034,0.098,0.083,0.234,0.0,True,True
